Emotion,Appraisal,k,r,interpretation,prediction,ref
interest,harm,2,-0.26*,"The greater the perceived harm, the less the interest.",No prediction & Significant,
interest,goal relevance,2,0.27***,"The greater the perceived relevance of the situation to one's goals, the greater the interest.",Predicted & Supported,
interest,accountability-self,2,0.15,,No prediction & Not Significant,
interest,control-circumstances,2,0.035,,No prediction & Not Significant,
interest,control-self,2,0.38**,"The greater the perceived control over the situation, the greater the interest.",Predicted & Supported,
interest,problem-focused coping potential,2,0.44***,"The greater the perceived ability to cope and adapt to the situation, the greater the interest.",Predicted & Supported,
interest,challenge,2,0.45***,"The greater the perception of a future gain after overcoming an obstacle in the situation, the greater the interest.",No prediction & Significant,
interest,goal conduciveness,1,0.32**,"The greater the consistency of the situation with one's goals, the greater the interest.",No prediction & Significant,
interest,perceived obstacle,1,0.02,,No prediction & Not Significant,
interest,accountability-circumstances,1,-0.03,,No prediction & Not Significant,
interest,accountability-other,1,0.05,,No prediction & Not Significant,
interest,control-other,1,0.04,,No prediction & Not Significant,
interest,novelty,1,0.04,,Predicted & Not Significant,
interest,future expectancy,1,0.17,,No prediction & Not Significant,
interest,certainty,1,0.27***,"The greater the understanding of the situation, the greater the interest.",Predicted & Supported,
interest,future predictability,1,0.16**,"The greater the ability to predict what is going to occur in the future, the greater the interest.",No prediction & Significant,
interest,effort,1,0.03,,No prediction & Not Significant,
interest,normative significance (internal),1,0.16**,"The greater the consistency of the situation with one's ideals, the greater the interest.",No prediction & Significant,
interest,concern for others,1,-0.28*,"The greater the concern for others' well-being in the situation, the less the interest.",No prediction & Significant,
irritation,pleasantness,1,-0.38***,"The greater the perceived pleasantness of the situation, the less the irritation.",No prediction & Significant,
irritation,control-self,1,0.31*,"The greater the perceived control over the situation, the greater the irritation.",No prediction & Significant,
jealousy,pleasantness,1,-0.37***,"The greater the perceived pleasantness of the situation, the less the jealousy.",Predicted & Supported,
jealousy,goal relevance,1,0.24***,"The greater the perceived relevance of the situation to one's goals, the greater the jealousy.",Predicted & Supported,
jealousy,perceived obstacle,1,0.45***,"The greater the perception that an obstacle hampers the attainment of a desired goal, the greater the jealousy.",Predicted & Supported,
jealousy,accountability-circumstances,1,0.11,,No prediction & Not Significant,
jealousy,accountability-other,1,0.08,,Predicted & Not Significant,
jealousy,accountability-self,1,-0.05,,No prediction & Not Significant,
jealousy,control-self,1,-0.21***,"The greater the perceived control over the situation, the less the jealousy.",Predicted & Supported,
jealousy,attentional activity,1,0.12*,"The greater the perceived need to take time/effort to attend to the situation further, the greater the jealousy.",No prediction & Significant,
jealousy,future predictability,1,-0.35***,"The greater the ability to predict what is going to occur in the future, the less the jealousy.",Predicted & Supported,
jealousy,effort,1,0.21***,"The greater the need to exert effort to deal with the situation, the greater the jealousy.",No prediction & Significant,
jealousy,fairness,1,-0.38***,"The greater the perceived fairness of the situation, the less the jealousy.",No prediction & Significant,
loneliness,pleasantness,1,-0.19***,"The greater the perceived pleasantness of the situation, the less the feelings of loneliness.",No prediction & Significant,
loneliness,loss,1,0.45***,"The greater the perception that something irretrievable has been lost, the greater the feelings of loneliness.",No prediction & Significant,
loneliness,uniqueness,1,-0.02,,No prediction & Not Significant,
loneliness,temporal distance,1,0,,No prediction & Not Significant,
longing,pleasantness,1,0.33***,"The greater the perceived pleasantness of the situation, the greater the feelings of longing.",No prediction & Significant,
longing,loss,1,0.3***,"The greater the perception that something irretrievable has been lost, the greater the feelings of longing.",No prediction & Significant,
longing,uniqueness,1,0.07*,"The greater the perception of how unique the situation was, the greater the feelings of longing.",No prediction & Significant,
longing,temporal distance,1,-0.1***,"The greater the perceived temporal distance to a remembered past situation, the less the feelings of longing.",No prediction & Significant,
love,goal conduciveness,5,0.51***,"The greater the consistency of the situation with one's goals, the greater the love.",No prediction & Significant,
love,certainty,5,0.26***,"The greater the understanding of the situation, the greater the love.",Predicted & Supported,
love,pleasantness,4,0.42***,"The greater the perceived pleasantness of the situation, the greater the love.",Predicted & Supported,
love,accountability-other,3,0.16***,"The greater the perceived responsibility for the cause of the situation attributed to other people/objects, the greater the love.",Predicted & Supported,
love,accountability-self,3,0.14,,No prediction & Not Significant,
love,control-self,3,0.12***,"The greater the perceived control over the situation, the greater the love.",No prediction & Significant,
love,fairness,3,0.41***,"The greater the perceived fairness of the situation, the greater the love.",No prediction & Significant,
love,normative significance (internal),3,0.37**,"The greater the consistency of the situation with one's ideals, the greater the love.",No prediction & Significant,
love,loss,2,0.13,,No prediction & Not Significant,
love,accountability-circumstances,2,0.03,,No prediction & Not Significant,
love,problem-focused coping potential,2,0.35***,"The greater the perceived ability to cope and adapt to the situation, the greater the love.",No prediction & Significant,
love,future predictability,2,0.06,,No prediction & Not Significant,
love,effort,2,-0.073,,Predicted & Not Significant,
love,goal relevance,1,0.59***,"The greater the perceived relevance of the situation to one's goals, the greater the love.",Predicted & Supported,
love,perceived obstacle,1,-0.01,,No prediction & Not Significant,
love,control-circumstances,1,0.03,,No prediction & Not Significant,
love,control-other,1,0.09,,No prediction & Not Significant,
love,effortful success,1,0.26***,"The greater the perception that effort could make the situation better, the greater the love.",No prediction & Significant,
love,novelty,1,0.29***,"The greater the perceived novelty in the situation, the greater the love.",Predicted & Supported,
love,uniqueness,1,0.18***,"The greater the perception of how unique the situation was, the greater the love.",No prediction & Significant,
love,future expectancy,1,0.31***,"The greater the expectation that the situation will get better, the greater the love.",No prediction & Significant,
love,attentional activity,1,0.1*,"The greater the perceived need to take time/effort to attend to the situation further, the greater the love.",Predicted & Supported,
love,normative significance (external),1,0.22***,"The greater the consistency of the situation with external and social norms, the greater the love.",No prediction & Significant,
love,concern for others,1,0.21**,"The greater the concern for others' well-being in the situation, the greater the love.",No prediction & Significant,
love,temporal distance,1,-0.17***,"The greater the perceived temporal distance to a remembered past situation, the less the love.",No prediction & Significant,
nostalgia,pleasantness,1,0.36***,"The greater the perceived pleasantness of the situation, the greater the nostalgia.",Predicted & Supported,
nostalgia,loss,1,0.09**,"The greater the perception that something irretrievable has been lost, the greater the nostalgia.",Predicted & Supported,
nostalgia,uniqueness,1,0.12***,"The greater the perception of how unique the situation was, the greater the nostalgia.",No prediction & Significant,
nostalgia,temporal distance,1,0.06*,"The greater the perceived temporal distance to a remembered past situation, the greater the nostalgia.",No prediction & Significant,
pity,threat,2,0.098*,"The greater the perceived imminent threat in the situation, the greater the pity.",Predicted & Supported,
pity,accountability-other,2,-0.33*,"The greater the perceived responsibility for the cause of the situation attributed to other people/objects, the less the pity.",Predicted & Supported,
pity,fairness,2,-0.088,,No prediction & Not Significant,
pity,pleasantness,1,0.3***,"The greater the perceived pleasantness of the situation, the greater the pity.",No prediction & Significant,
pity,accountability-circumstances,1,0.02,,Predicted & Not Significant,
pity,accountability-self,1,-0.03,,No prediction & Not Significant,
playfulness,certainty,1,0.26*,"The greater the understanding of the situation, the greater the playfulness.",No prediction & Significant,
pleasure,control-self,1,0.28**,"The greater the perceived control over the situation, the greater the pleasure.",No prediction & Significant,
psyched-up,pleasantness,1,0.36**,"The greater the perceived pleasantness of the situation, the greater the psyched-up.",No prediction & Significant,
psyched-up,threat,1,0.27*,"The greater the perceived imminent threat in the situation, the greater the psyched-up.",No prediction & Significant,
psyched-up,accountability-other,1,-0.15,,No prediction & Not Significant,
psyched-up,attentional activity,1,0.25,,No prediction & Not Significant,
psyched-up,normative significance (external),1,0.17,,No prediction & Not Significant,
regret,accountability-other,5,-0.093,,No prediction & Not Significant,
regret,accountability-self,5,0.42***,"The greater the perceived personal responsibility of the cause of the situation, the greater the regret.",Predicted & Supported,
regret,fairness,3,0.099,,No prediction & Not Significant,
regret,pleasantness,2,-0.38***,"The greater the perceived pleasantness of the situation, the less the regret.",Predicted & Supported,
regret,accountability-circumstances,2,-0.2*,"The greater the attribution of the cause of the situation to impersonal circumstances, the less the regret.",No prediction & Significant,
regret,normative significance (internal),2,-0.45***,"The greater the consistency of the situation with one's ideals, the less the regret.",Predicted & Supported,
regret,loss,1,0.3***,"The greater the perception that something irretrievable has been lost, the greater the regret.",No prediction & Significant,
regret,goal relevance,1,0.07,,No prediction & Not Significant,
regret,perceived obstacle,1,0.19,,No prediction & Not Significant,
regret,control-circumstances,1,-0.08,,No prediction & Not Significant,
regret,control-self,1,0.21,,No prediction & Not Significant,
regret,uniqueness,1,-0.02,,No prediction & Not Significant,
regret,future predictability,1,-0.01,,No prediction & Not Significant,
regret,effort,1,0.34**,"The greater the need to exert effort to deal with the situation, the greater the regret.",Predicted & Supported,
regret,temporal distance,1,0.01,,No prediction & Not Significant,
relief,goal conduciveness,4,0.45***,"The greater the consistency of the situation with one's goals, the greater the relief.",Predicted & Supported,
relief,accountability-other,4,0.0011,,No prediction & Not Significant,
relief,accountability-self,4,0.24***,"The greater the perceived personal responsibility of the cause of the situation, the greater the relief.",No prediction & Significant,
relief,control-self,4,0.15*,"The greater the perceived control over the situation, the greater the relief.",No prediction & Significant,
relief,value,3,0.15***,"The greater the perceived value of the situation to one's goals and desires, the greater the relief.",No prediction & Significant,
relief,problem-focused coping potential,3,0.23,,No prediction & Not Significant,
relief,pleasantness,2,0.19***,"The greater the perceived pleasantness of the situation, the greater the relief.",Predicted & Supported,
relief,loss,2,-0.4**,"The greater the perception that something irretrievable has been lost, the less the relief.",No prediction & Significant,
relief,goal relevance,2,0.039,,Predicted & Not Significant,
relief,accountability-circumstances,2,-0.026,,Predicted & Not Significant,
relief,control-other,2,-0.0026,,No prediction & Not Significant,
relief,emotion-focused coping potential,2,0.3***,"The greater the ability to emotionally cope and adapt to the situation, the greater the relief.",No prediction & Significant,
relief,future expectancy,2,0.3***,"The greater the expectation that the situation will get better, the greater the relief.",No prediction & Significant,
relief,certainty,2,0.19***,"The greater the understanding of the situation, the greater the relief.",Predicted & Supported,
relief,future predictability,2,0.1*,"The greater the ability to predict what is going to occur in the future, the greater the relief.",No prediction & Significant,
relief,threat,1,-0.34***,"The greater the perceived imminent threat in the situation, the less the relief.",No prediction & Significant,
relief,easing of threat,1,0.69***,"The greater the perception that a threat or harm has been removed from the situation, the greater the relief.",No prediction & Significant,
relief,perceived obstacle,1,0.003,,No prediction & Not Significant,
relief,intentionality,1,0.31***,"The greater the perceived intentionality of the cause of the event either by oneself or others, the greater the relief.",No prediction & Significant,
relief,control-circumstances,1,0.02,,Predicted & Not Significant,
relief,effortful success,1,0.5***,"The greater the perception that effort could make the situation better, the greater the relief.",No prediction & Significant,
relief,novelty,1,-0.25***,"The greater the perceived novelty in the situation, the less the relief.",No prediction & Significant,
relief,uniqueness,1,0.07*,"The greater the perception of how unique the situation was, the greater the relief.",No prediction & Significant,
relief,attentional activity,1,0.09,,No prediction & Significant,
relief,effort,1,-0.004,,Predicted & Not Significant,
relief,stability,1,0,,No prediction & Not Significant,
relief,normative significance (internal),1,0.13**,"The greater the consistency of the situation with one's ideals, the greater the relief.",No prediction & Significant,
relief,globality,1,0.13*,"The greater the perception that the event is relevant to all aspect of one's life, the greater the relief.",No prediction & Significant,
relief,temporal distance,1,-0.1***,"The greater the perceived temporal distance to a remembered past situation, the less the relief.",No prediction & Significant,
resignation,pleasantness,1,-0.1,,No prediction & Not Significant,
resignation,perceived obstacle,1,0.16*,"The greater the perception that an obstacle hampers the attainment of a desired goal, the greater the resignation.",No prediction & Significant,
resignation,control-circumstances,1,0.13*,"The greater the perception that impersonal circumstances have control over the situation, the greater the resignation.",No prediction & Significant,
resignation,attentional activity,1,-0.12,,No prediction & Not Significant,
resignation,future predictability,1,0.2**,"The greater the ability to predict what is going to occur in the future, the greater the resignation.",No prediction & Significant,
resignation,effort,1,-0.13*,"The greater the need to exert effort to deal with the situation, the less the resignation.",No prediction & Significant,
schadenfreude,accountability-other,3,0.19***,"The greater the perceived responsibility for the cause of the situation attributed to other people/objects, the greater the feelings of schadenfreude.",No prediction & Significant,
schadenfreude,fairness,3,0.18**,"The greater the perceived fairness of the situation, the greater the feelings of schadenfreude.",Predicted & Supported,
schadenfreude,normative significance (internal),2,-0.12*,"The greater the consistency of the situation with one's ideals, the less the feelings of schadenfreude.",No prediction & Significant,
schadenfreude,goal relevance,1,-0.1,,No prediction & Not Significant,
self-anger,accountability-circumstances,2,-0.091,,No prediction & Not Significant,
self-anger,accountability-other,2,-0.48**,"The greater the perceived responsibility for the cause of the situation attributed to other people/objects, the less the self-anger.",No prediction & Significant,
self-anger,accountability-self,2,0.53***,"The greater the perceived personal responsibility of the cause of the situation, the greater the self-anger.",Predicted & Supported,
self-pity,pleasantness,1,-0.2***,"The greater the perceived pleasantness of the situation, the less the self-pity.",No prediction & Significant,
self-pity,loss,1,0.38***,"The greater the perception that something irretrievable has been lost, the greater the self-pity.",No prediction & Significant,
self-pity,uniqueness,1,-0.05,,No prediction & Not Significant,
self-pity,temporal distance,1,0.01,,No prediction & Not Significant,
serenity,value,3,0.33***,"The greater the perceived value of the situation to one's goals and desires, the greater the serenity.",No prediction & Significant,
serenity,control-self,3,0.49**,"The greater the perceived control over the situation, the greater the serenity.",Predicted & Supported,
serenity,pleasantness,2,0.42***,"The greater the perceived pleasantness of the situation, the greater the serenity.",Predicted & Supported,
serenity,accountability-self,2,0.2***,"The greater the perceived personal responsibility of the cause of the situation, the greater the serenity.",No prediction & Significant,
serenity,attentional activity,2,-0.14,,No prediction & Not Significant,
serenity,certainty,2,0.24*,"The greater the understanding of the situation, the greater the serenity.",Predicted & Supported,
serenity,threat,1,-0.34***,"The greater the perceived imminent threat in the situation, the less the serenity.",Predicted & Supported,
serenity,loss,1,-0.34***,"The greater the perception that something irretrievable has been lost, the less the serenity.",No prediction & Significant,
serenity,harm,1,-0.36***,"The greater the perceived harm, the less the serenity.",Predicted & Supported,
serenity,goal conduciveness,1,-0.18*,"The greater the consistency of the situation with one's goals, the less the serenity.",No prediction & Significant,
serenity,goal relevance,1,-0.31***,"The greater the perceived relevance of the situation to one's goals, the less the serenity.",No prediction & Significant,
serenity,perceived obstacle,1,-0.1*,"The greater the perception that an obstacle hampers the attainment of a desired goal, the less the serenity.",Predicted & Supported,
serenity,accountability-circumstances,1,-0.04,,No prediction & Not Significant,
serenity,accountability-other,1,-0.04,,No prediction & Not Significant,
serenity,control-circumstances,1,-0.04,,No prediction & Not Significant,
serenity,control-other,1,-0.05,,No prediction & Not Significant,
serenity,effortful success,1,0.14,,No prediction & Not Significant,
serenity,expectedness,1,0.14,,No prediction & Not Significant,
serenity,uniqueness,1,0.04,,No prediction & Not Significant,
serenity,future expectancy,1,0.29***,"The greater the expectation that the situation will get better, the greater the serenity.",No prediction & Significant,
serenity,future predictability,1,0.1*,"The greater the ability to predict what is going to occur in the future, the greater the serenity.",Predicted & Supported,
serenity,effort,1,-0.13**,"The greater the need to exert effort to deal with the situation, the less the serenity.",Predicted & Supported,
serenity,stability,1,-0.08,,No prediction & Not Significant,
serenity,normative significance (internal),1,0.12*,"The greater the consistency of the situation with one's ideals, the greater the serenity.",Predicted & Supported,
serenity,concern for others,1,-0.17*,"The greater the concern for others' well-being in the situation, the less the serenity.",No prediction & Significant,
serenity,challenge,1,0.37***,"The greater the perception of a future gain after overcoming an obstacle in the situation, the greater the serenity.",No prediction & Significant,
serenity,globality,1,0.09,,No prediction & Not Significant,
serenity,temporal distance,1,-0.02,,No prediction & Not Significant,
surprise,pleasantness,2,0.17,,Predicted & Not Significant,
surprise,accountability-other,2,0.22***,"The greater the perceived responsibility for the cause of the situation attributed to other people/objects, the greater the surprise.",No prediction & Significant,
surprise,control-self,2,0.094,,No prediction & Not Significant,
surprise,expectedness,2,-0.49***,"The greater the expectation of the occurrence of the situation, the less the surprise.",Predicted & Supported,
surprise,certainty,2,-0.3***,"The greater the understanding of the situation, the less the surprise.",Predicted & Supported,
surprise,threat,1,-0.1,,No prediction & Not Significant,
surprise,harm,1,-0.04,,No prediction & Not Significant,
surprise,goal conduciveness,1,0.29***,"The greater the consistency of the situation with one's goals, the greater the surprise.",No prediction & Significant,
surprise,goal relevance,1,0.41***,"The greater the perceived relevance of the situation to one's goals, the greater the surprise.",Predicted & Supported,
surprise,novelty,1,0.35***,"The greater the perceived novelty in the situation, the greater the surprise.",Predicted & Supported,
surprise,attentional activity,1,0.44***,"The greater the perceived need to take time/effort to attend to the situation further, the greater the surprise.",Predicted & Supported,
surprise,future predictability,1,-0.27***,"The greater the ability to predict what is going to occur in the future, the less the surprise.",Predicted & Supported,
surprise,normative significance (external),1,0.2***,"The greater the consistency of the situation with external and social norms, the greater the surprise.",No prediction & Significant,
surprise,normative significance (internal),1,0.29***,"The greater the consistency of the situation with one's ideals, the greater the surprise.",No prediction & Significant,
surprise,concern for others,1,0.23**,"The greater the concern for others' well-being in the situation, the greater the surprise.",No prediction & Significant,
surprise,challenge,1,0.18*,"The greater the perception of a future gain after overcoming an obstacle in the situation, the greater the surprise.",No prediction & Significant,
sympathy,accountability-other,3,-0.13,,No prediction & Not Significant,
sympathy,control-other,2,-0.031,,No prediction & Not Significant,
sympathy,pleasantness,1,-0.31***,"The greater the perceived pleasantness of the situation, the less the sympathy.",No prediction & Significant,
sympathy,threat,1,0.15*,"The greater the perceived imminent threat in the situation, the greater the sympathy.",No prediction & Significant,
sympathy,loss,1,0.27***,"The greater the perception that something irretrievable has been lost, the greater the sympathy.",No prediction & Significant,
sympathy,goal conduciveness,1,0.19*,"The greater the consistency of the situation with one's goals, the greater the sympathy.",No prediction & Significant,
sympathy,control-self,1,-0.25***,"The greater the perceived control over the situation, the less the sympathy.",No prediction & Significant,
sympathy,expectedness,1,-0.23**,"The greater the expectation of the occurrence of the situation, the less the sympathy.",No prediction & Significant,
sympathy,uniqueness,1,0,,No prediction & Not Significant,
sympathy,certainty,1,-0.11,,No prediction & Not Significant,
sympathy,fairness,1,-0.17***,"The greater the perceived fairness of the situation, the less the sympathy.",Predicted & Supported,"Feather, N. T. (2006). Deservingness and emotions: Applying the structural model of deservingness to the analysis of affective reactions to outcomes. European review of social psychology, 17(1), 38-73."
sympathy,concern for others,1,0.54***,"The greater the concern for others' well-being in the situation, the greater the sympathy.",No prediction & Significant,
sympathy,temporal distance,1,-0.04,,No prediction & Not Significant,
tenderness,pleasantness,1,0.41***,"The greater the perceived pleasantness of the situation, the greater the tenderness.",No prediction & Significant,
tenderness,loss,1,0.01,,No prediction & Not Significant,
tenderness,uniqueness,1,0.19***,"The greater the perception of how unique the situation was, the greater the tenderness.",No prediction & Significant,
tenderness,temporal distance,1,-0.15***,"The greater the perceived temporal distance to a remembered past situation, the less the tenderness.",No prediction & Significant,
threat-awe,pleasantness,1,-0.7***,"The greater the perceived pleasantness of the situation, the less the feelings of awe (in response to something threatening or fearful).",Predicted & Supported,"Danvers, A. F., & Shiota, M. N. (2017). Going off script: Effects of awe on memory for script-typical and-irrelevant narrative detail.ÊEmotion,Ê17(6), 938."
threat-awe,threat,1,0.66***,"The greater the perceived imminent threat in the situation, the greater the feelings of awe (in response to something threatening or fearful).",Predicted & Supported,"Keltner, D., & Haidt, J. (2003). Approaching awe, a moral, spiritual, and aesthetic emotion.ÊCognition and emotion,Ê17(2), 297-314."
threat-awe,control-circumstances,1,0.62***,"The greater the perception that impersonal circumstances have control over the situation, the greater the feelings of awe (in response to something threatening or fearful).",Predicted & Supported,"Gordon, A. M., Stellar, J. E., Anderson, C. L., McNeil, G. D., Loew, D., & Keltner, D. (2017). The dark side of the sublime: Distinguishing a threat-based variant of awe.ÊJournal of personality and social psychology,Ê113(2), 310."
threat-awe,control-other,1,0.29**,"The greater the perception that other people/objects have control over the situation, the greater the feelings of awe (in response to something threatening or fearful).",No prediction & Significant,
threat-awe,control-self,1,-0.69***,"The greater the perceived control over the situation, the less the feelings of awe (in response to something threatening or fearful).",Predicted & Supported,"Gordon, A. M., Stellar, J. E., Anderson, C. L., McNeil, G. D., Loew, D., & Keltner, D. (2017). The dark side of the sublime: Distinguishing a threat-based variant of awe.ÊJournal of personality and social psychology,Ê113(2), 310."
threat-awe,certainty,1,-0.53***,"The greater the understanding of the situation, the less the feelings of awe (in response to something threatening or fearful).",Predicted & Supported,"Gordon, A. M., Stellar, J. E., Anderson, C. L., McNeil, G. D., Loew, D., & Keltner, D. (2017). The dark side of the sublime: Distinguishing a threat-based variant of awe.ÊJournal of personality and social psychology,Ê113(2), 310."
threat-awe,vastness,1,0.097,,Predicted & Not Significant,"Gordon, A. M., Stellar, J. E., Anderson, C. L., McNeil, G. D., Loew, D., & Keltner, D. (2017). The dark side of the sublime: Distinguishing a threat-based variant of awe.ÊJournal of personality and social psychology,Ê113(2), 310."
unfriendly,accountability-circumstances,2,0.069,,No prediction & Not Significant,
unfriendly,accountability-other,2,0.2*,"The greater the perceived responsibility for the cause of the situation attributed to other people/objects, the greater the feelings of unfriendliness.",No prediction & Significant,
unfriendly,accountability-self,2,-0.088,,No prediction & Not Significant,
unlucky,accountability-circumstances,2,0.35***,"The greater the attribution of the cause of the situation to impersonal circumstances, the greater the feelings of unluckiness.",No prediction & Significant,
unlucky,accountability-other,2,0.057,,No prediction & Not Significant,
unlucky,accountability-self,2,-0.085,,No prediction & Not Significant,
worry,problem-focused coping potential,9,-0.28***,"The greater the perceived ability to cope and adapt to the situation, the less the worry.",No prediction & Significant,
worry,threat,7,0.38***,"The greater the perceived imminent threat in the situation, the greater the worry.",Predicted & Supported,
worry,goal relevance,6,0.38***,"The greater the perceived relevance of the situation to one's goals, the greater the worry.",No prediction & Significant,
worry,certainty,6,-0.23,,Predicted & Not Significant,
worry,accountability-other,5,0.082,,No prediction & Not Significant,
worry,future expectancy,5,0.14,,No prediction & Not Significant,
worry,goal conduciveness,3,-0.28***,"The greater the consistency of the situation with one's goals, the less the worry.",Predicted & Supported,
worry,difficulty,3,0.39***,"The greater the perceived difficulty, the greater the worry.",No prediction & Significant,
worry,accountability-self,3,0.017,,Predicted & Not Significant,
worry,control-self,3,-0.081,,No prediction & Not Significant,
worry,challenge,3,-0.24***,"The greater the perception of a future gain after overcoming an obstacle in the situation, the less the worry.",No prediction & Significant,
worry,control-other,2,-0.096,,No prediction & Not Significant,
worry,emotion-focused coping potential,2,-0.13***,"The greater the ability to emotionally cope and adapt to the situation, the less the worry.",No prediction & Significant,
worry,fairness,2,-0.24*,"The greater the perceived fairness of the situation, the less the worry.",No prediction & Significant,
worry,accountability-circumstances,1,-0.025,,No prediction & Not Significant,
